date,ticker,event_type,headline,body,severity_true,sentiment,direction_true,original_date,ret_fwd_5d,event_type_coarse,text,event_type_hat,severity_hat,severity_hat_rounded,p_alpha_hat
2005-08-08,RTX,ANTITRUST,RTX faces antitrust investigation over market practices,Regulatory officials allege that the company has been leveraging its market position to stifle competition. The ongoing inquiry is expected to examine pricing strategies and exclusivity agreements.,1,negative,-1,2005-01-19,0.048632043627782,ANTITRUST,[UNKNOWN] RTX faces antitrust investigation over market practices Regulatory officials allege that the company has been leveraging its market position to stifle competition. The ongoing inquiry is expected to examine pricing strategies and exclusivity agreements.,ANTITRUST,1.2978478363671693,1,0.19114573728008366
2005-10-27,BA,ANTITRUST,BA hit with antitrust lawsuit alleging monopolistic conduct,Regulatory officials allege that the company has been leveraging its market position to stifle competition. The ongoing inquiry is expected to examine pricing strategies and exclusivity agreements.,3,negative,-1,2005-01-19,0.0226383114164312,ANTITRUST,[UNKNOWN] BA hit with antitrust lawsuit alleging monopolistic conduct Regulatory officials allege that the company has been leveraging its market position to stifle competition. The ongoing inquiry is expected to examine pricing strategies and exclusivity agreements.,ANTITRUST,1.2925603469811766,1,0.19016666680854055
2005-07-29,ORCL,LABOR_LAWSUIT,ORCL sued over labor practice allegations,A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,2,negative,-1,2005-01-21,-0.0213707365567736,LABOR_LAWSUIT,[UNKNOWN] ORCL sued over labor practice allegations A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,LABOR_LAWSUIT,1.1198260256204864,1,0.16027158127336413
2005-10-12,BAC,FINRA_ACTION,FINRA sanctions BAC subsidiary for compliance failures,The Financial Industry Regulatory Authority sanctioned the company's brokerage division for failing to supervise certain trades. The action includes a fine and remedial measures to improve compliance.,1,negative,-1,2005-01-22,0.0131293243794674,OTHER_REGULATORY,[UNKNOWN] FINRA sanctions BAC subsidiary for compliance failures The Financial Industry Regulatory Authority sanctioned the company's brokerage division for failing to supervise certain trades. The action includes a fine and remedial measures to improve compliance.,OTHER_REGULATORY,1.3816950808149806,1,0.2071869524191855
2005-09-21,COST,DATA_PRIVACY,COST fined for violating data privacy regulations,"An internal audit revealed unauthorized access to customer data, prompting regulatory notification and an investigation. The company has engaged forensic experts to assess the scope and pledged to strengthen security protocols.",1,negative,-1,2005-01-29,0.022661094641073,DATA_PRIVACY,"[UNKNOWN] COST fined for violating data privacy regulations An internal audit revealed unauthorized access to customer data, prompting regulatory notification and an investigation. The company has engaged forensic experts to assess the scope and pledged to strengthen security protocols.",DATA_PRIVACY,1.2000958208299928,1,0.17366314723642692
2005-10-17,TGT,LABOR_LAWSUIT,Employees file class-action labor lawsuit against TGT,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",1,negative,-1,2005-01-31,0.036800549197715,LABOR_LAWSUIT,"[UNKNOWN] Employees file class-action labor lawsuit against TGT The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",LABOR_LAWSUIT,1.340743867505765,1,0.19923103213692075
2005-07-21,C,LABOR_LAWSUIT,Employees file class-action labor lawsuit against C,Current and former employees filed a class-action suit accusing the company of discriminatory practices and inadequate workplace protections. The lawsuit seeks compensatory damages and policy changes.,1,negative,-1,2005-02-05,0.0033768689022675,LABOR_LAWSUIT,[UNKNOWN] Employees file class-action labor lawsuit against C Current and former employees filed a class-action suit accusing the company of discriminatory practices and inadequate workplace protections. The lawsuit seeks compensatory damages and policy changes.,LABOR_LAWSUIT,1.2203399519334914,1,0.17717697377781408
2005-02-10,JPM,ACCOUNTING_FRAUD,JPM investigated over alleged accounting misconduct,"Auditors discovered discrepancies in the company's financial statements, leading to suspicions of accounting misconduct. The firm has initiated an internal review and engaged outside counsel to ensure transparency.",1,negative,-1,2005-02-08,-0.0178906581365757,ACCOUNTING_FRAUD,"[UNKNOWN] JPM investigated over alleged accounting misconduct Auditors discovered discrepancies in the company's financial statements, leading to suspicions of accounting misconduct. The firm has initiated an internal review and engaged outside counsel to ensure transparency.",ACCOUNTING_FRAUD,0.9013769225774848,1,0.12804593334003622
2005-10-13,GS,LABOR_LAWSUIT,GS settles labor dispute with workforce,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",3,negative,-1,2005-02-08,0.0513827870607606,LABOR_LAWSUIT,"[UNKNOWN] GS settles labor dispute with workforce The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",LABOR_LAWSUIT,1.1244241117364744,1,0.16101557191675755
2005-07-01,NVDA,LABOR_LAWSUIT,NVDA sued over labor practice allegations,A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,0,negative,-1,2005-02-08,0.0640819543794632,LABOR_LAWSUIT,[UNKNOWN] NVDA sued over labor practice allegations A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,LABOR_LAWSUIT,1.5360131620269981,2,0.23925210273887199
2005-07-26,UNH,FDA_APPROVAL,FDA greenlights UNH's novel drug,"After successful clinical trials, the company's drug received FDA approval for market entry. Investors responded positively, reflecting optimism about future sales prospects.",3,positive,1,2005-02-12,0.01980770589811,FDA_APPROVAL,"[UNKNOWN] FDA greenlights UNH's novel drug After successful clinical trials, the company's drug received FDA approval for market entry. Investors responded positively, reflecting optimism about future sales prospects.",FDA_APPROVAL,1.3899056183491545,1,0.20881002240825836
2005-04-28,C,REGULATORY_UPDATE,Regulatory changes affect C's operations,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",2,negative,-1,2005-02-12,0.0149379903752968,OTHER_REGULATORY,"[UNKNOWN] Regulatory changes affect C's operations In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",OTHER_REGULATORY,1.2019899819249118,1,0.17398957344642857
2005-04-13,XOM,REGULATORY_UPDATE,XOM issues statement on updated compliance rules,Industry-wide regulatory changes have prompted the company to modify certain practices. Executives anticipate minor operational impacts but emphasized the importance of maintaining compliance.,2,negative,-1,2005-02-13,-0.0339821875084602,OTHER_REGULATORY,[UNKNOWN] XOM issues statement on updated compliance rules Industry-wide regulatory changes have prompted the company to modify certain practices. Executives anticipate minor operational impacts but emphasized the importance of maintaining compliance.,OTHER_REGULATORY,1.090330004767477,1,0.15556501572122142
2005-12-09,PEP,REGULATORY_UPDATE,PEP issues statement on updated compliance rules,Industry-wide regulatory changes have prompted the company to modify certain practices. Executives anticipate minor operational impacts but emphasized the importance of maintaining compliance.,0,neutral,0,2005-02-14,0.0138978650732095,OTHER_REGULATORY,[UNKNOWN] PEP issues statement on updated compliance rules Industry-wide regulatory changes have prompted the company to modify certain practices. Executives anticipate minor operational impacts but emphasized the importance of maintaining compliance.,OTHER_REGULATORY,1.4440430785747698,1,0.2197458059258438
2005-10-20,NVDA,LABOR_LAWSUIT,Employees file class-action labor lawsuit against NVDA,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",0,negative,-1,2005-02-16,-0.0097628757975845,LABOR_LAWSUIT,"[UNKNOWN] Employees file class-action labor lawsuit against NVDA The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",LABOR_LAWSUIT,0.9553098925179698,1,0.13544747560546508
2005-08-24,SBUX,LABOR_LAWSUIT,Employees file class-action labor lawsuit against SBUX,A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,0,negative,-1,2005-02-18,,LABOR_LAWSUIT,[UNKNOWN] Employees file class-action labor lawsuit against SBUX A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,LABOR_LAWSUIT,1.1505962052939807,1,0.1653035626215588
2005-05-25,MCD,DATA_PRIVACY,MCD under scrutiny for handling of user data,Regulators imposed a fine after finding that the company failed to obtain proper consent for collecting user information. The violation underlines the growing scrutiny of data protection practices in the technology industry.,1,negative,-1,2005-02-18,0.0074455669129342,DATA_PRIVACY,[UNKNOWN] MCD under scrutiny for handling of user data Regulators imposed a fine after finding that the company failed to obtain proper consent for collecting user information. The violation underlines the growing scrutiny of data protection practices in the technology industry.,DATA_PRIVACY,1.1254968698122416,1,0.16118954990942352
2022-01-20,ABBV,FDA_ACTION,ABBV's drug receives FDA safety alert,Regulators alleged that the company promoted a drug for unapproved uses. The company has ceased the marketing activity and is working to align promotional practices with regulatory standards.,2,negative,-1,2005-02-22,0.0221004170313503,FDA_ACTION,[UNKNOWN] ABBV's drug receives FDA safety alert Regulators alleged that the company promoted a drug for unapproved uses. The company has ceased the marketing activity and is working to align promotional practices with regulatory standards.,FDA_ACTION,1.1919664847461977,1,0.17226768750783628
2005-07-20,META,SUPPLY_CHAIN,META resolves supply chain compliance issue,The company disclosed disruptions in its supply chain due to a regulatory investigation into one of its key partners. Management is exploring alternative suppliers to mitigate potential shortages.,1,neutral,0,2005-02-25,,OTHER_REGULATORY,[UNKNOWN] META resolves supply chain compliance issue The company disclosed disruptions in its supply chain due to a regulatory investigation into one of its key partners. Management is exploring alternative suppliers to mitigate potential shortages.,OTHER_REGULATORY,1.063303782416923,1,0.15135210070529975
2005-06-13,NFLX,PATENT_IP,NFLX sues competitor over intellectual property theft,The company filed a complaint alleging theft of proprietary designs by a rival. The case seeks injunctive relief to prevent further use of the contested intellectual property and compensatory damages for losses incurred.,1,negative,-1,2005-03-02,,PATENT_IP,[UNKNOWN] NFLX sues competitor over intellectual property theft The company filed a complaint alleging theft of proprietary designs by a rival. The case seeks injunctive relief to prevent further use of the contested intellectual property and compensatory damages for losses incurred.,PATENT_IP,1.1394532843980678,1,0.16346683261157097
2005-06-16,HUM,FDA_ACTION,HUM's drug receives FDA safety alert,Regulators alleged that the company promoted a drug for unapproved uses. The company has ceased the marketing activity and is working to align promotional practices with regulatory standards.,0,negative,-1,2005-03-04,-0.0069694360003877,FDA_ACTION,[UNKNOWN] HUM's drug receives FDA safety alert Regulators alleged that the company promoted a drug for unapproved uses. The company has ceased the marketing activity and is working to align promotional practices with regulatory standards.,FDA_ACTION,0.8962550324000061,1,0.12736126882216536
2005-03-22,IBM,PATENT_IP,Court rules on intellectual property dispute involving IBM,"In a ruling that could set a precedent for similar disputes, a federal judge sided with the company on key points but left other claims to be decided at trial. The outcome may influence the competitive landscape in the industry.",0,negative,-1,2005-03-06,0.0131838234486285,PATENT_IP,"[UNKNOWN] Court rules on intellectual property dispute involving IBM In a ruling that could set a precedent for similar disputes, a federal judge sided with the company on key points but left other claims to be decided at trial. The outcome may influence the competitive landscape in the industry.",PATENT_IP,1.712892033625055,2,0.27998630132167823
2005-02-18,GOOG,REGULATORY_UPDATE,GOOG responds to new regulatory requirements,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",1,neutral,0,2005-03-08,-0.0503156461946445,OTHER_REGULATORY,"[UNKNOWN] GOOG responds to new regulatory requirements In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",OTHER_REGULATORY,1.316027001984568,1,0.19454127670465374
2005-10-06,CVX,REGULATORY_UPDATE,CVX responds to new regulatory requirements,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",5,negative,-1,2005-03-09,-0.0076667665716878,OTHER_REGULATORY,"[UNKNOWN] CVX responds to new regulatory requirements In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",OTHER_REGULATORY,1.7735978553955982,2,0.29490431410354745
2005-10-20,BA,REGULATORY_UPDATE,BA responds to new regulatory requirements,The company issued a statement addressing new regulatory requirements affecting its operations. Management indicated ongoing efforts to adapt processes and ensure compliance across all jurisdictions.,2,negative,-1,2005-03-09,-0.0482913012499668,OTHER_REGULATORY,[UNKNOWN] BA responds to new regulatory requirements The company issued a statement addressing new regulatory requirements affecting its operations. Management indicated ongoing efforts to adapt processes and ensure compliance across all jurisdictions.,OTHER_REGULATORY,1.025883744273838,1,0.14567426118826862
2005-01-26,BA,ANTITRUST,BA faces antitrust investigation over market practices,A civil suit filed by competitors claims the company engaged in anticompetitive practices that harmed smaller rivals. The case seeks both injunctive relief and monetary damages for affected parties.,1,negative,-1,2005-03-11,0.0475332123478628,ANTITRUST,[UNKNOWN] BA faces antitrust investigation over market practices A civil suit filed by competitors claims the company engaged in anticompetitive practices that harmed smaller rivals. The case seeks both injunctive relief and monetary damages for affected parties.,ANTITRUST,1.3011284683669566,1,0.1917551359056714
2005-12-12,COP,SUPPLY_CHAIN,COP faces supply chain disruptions amid regulatory probe,Regulatory authorities are examining the company's sourcing practices for potential violations of international trade laws. The inquiry focuses on whether suppliers complied with labor and environmental standards.,3,negative,-1,2005-03-13,-0.0432649410555374,OTHER_REGULATORY,[UNKNOWN] COP faces supply chain disruptions amid regulatory probe Regulatory authorities are examining the company's sourcing practices for potential violations of international trade laws. The inquiry focuses on whether suppliers complied with labor and environmental standards.,OTHER_REGULATORY,1.4579208352990822,1,0.2226144641257808
2005-11-08,ORCL,DATA_PRIVACY,ORCL fined for violating data privacy regulations,Regulators imposed a fine after finding that the company failed to obtain proper consent for collecting user information. The violation underlines the growing scrutiny of data protection practices in the technology industry.,0,negative,-1,2005-03-16,0.0039621827977243,DATA_PRIVACY,[UNKNOWN] ORCL fined for violating data privacy regulations Regulators imposed a fine after finding that the company failed to obtain proper consent for collecting user information. The violation underlines the growing scrutiny of data protection practices in the technology industry.,DATA_PRIVACY,1.0767680055368447,1,0.15343910042767941
2005-06-24,TGT,PRODUCT_LIABILITY,TGT faces product liability lawsuit over safety claims,"A settlement has been reached in a product liability case involving the company and a group of plaintiffs. As part of the agreement, the company agreed to pay damages while denying liability.",2,negative,-1,2005-03-17,0.0090626905701918,PRODUCT_LIABILITY,"[UNKNOWN] TGT faces product liability lawsuit over safety claims A settlement has been reached in a product liability case involving the company and a group of plaintiffs. As part of the agreement, the company agreed to pay damages while denying liability.",PRODUCT_LIABILITY,1.2300119207115634,1,0.17887535518094752
2005-08-17,GOOG,REGULATORY_UPDATE,GOOG responds to new regulatory requirements,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",1,neutral,0,2005-03-19,-0.0088741231739276,OTHER_REGULATORY,"[UNKNOWN] GOOG responds to new regulatory requirements In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",OTHER_REGULATORY,1.316027001984568,1,0.19454127670465374
2005-03-07,BA,ANTITRUST,BA hit with antitrust lawsuit alleging monopolistic conduct,Regulatory officials allege that the company has been leveraging its market position to stifle competition. The ongoing inquiry is expected to examine pricing strategies and exclusivity agreements.,1,negative,-1,2005-03-19,-0.0101197624623706,ANTITRUST,[UNKNOWN] BA hit with antitrust lawsuit alleging monopolistic conduct Regulatory officials allege that the company has been leveraging its market position to stifle competition. The ongoing inquiry is expected to examine pricing strategies and exclusivity agreements.,ANTITRUST,1.2925603469811766,1,0.19016666680854055
2005-10-05,NFLX,REGULATORY_UPDATE,NFLX issues statement on updated compliance rules,The company issued a statement addressing new regulatory requirements affecting its operations. Management indicated ongoing efforts to adapt processes and ensure compliance across all jurisdictions.,1,neutral,0,2005-03-24,,OTHER_REGULATORY,[UNKNOWN] NFLX issues statement on updated compliance rules The company issued a statement addressing new regulatory requirements affecting its operations. Management indicated ongoing efforts to adapt processes and ensure compliance across all jurisdictions.,OTHER_REGULATORY,1.052576442594205,1,0.14970606776683174
2005-10-05,HUM,FDA_ACTION,FDA issues warning to HUM over manufacturing practices,Regulators alleged that the company promoted a drug for unapproved uses. The company has ceased the marketing activity and is working to align promotional practices with regulatory standards.,4,negative,-1,2005-03-24,-0.0280395357663089,FDA_ACTION,[UNKNOWN] FDA issues warning to HUM over manufacturing practices Regulators alleged that the company promoted a drug for unapproved uses. The company has ceased the marketing activity and is working to align promotional practices with regulatory standards.,FDA_ACTION,1.153465164058046,1,0.16577913498837563
2005-03-09,RTX,ACCOUNTING_FRAUD,RTX executives charged in accounting fraud scheme,"Auditors discovered discrepancies in the company's financial statements, leading to suspicions of accounting misconduct. The firm has initiated an internal review and engaged outside counsel to ensure transparency.",2,negative,-1,2005-03-26,0.0096477374001495,ACCOUNTING_FRAUD,"[UNKNOWN] RTX executives charged in accounting fraud scheme Auditors discovered discrepancies in the company's financial statements, leading to suspicions of accounting misconduct. The firm has initiated an internal review and engaged outside counsel to ensure transparency.",ACCOUNTING_FRAUD,0.8147470042533439,1,0.11688100426039555
2005-01-28,MCD,LABOR_LAWSUIT,Employees file class-action labor lawsuit against MCD,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",0,negative,-1,2005-03-28,0.0178122989773243,LABOR_LAWSUIT,"[UNKNOWN] Employees file class-action labor lawsuit against MCD The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",LABOR_LAWSUIT,0.8181481941174326,1,0.11730294776444637
2005-12-23,MCD,LABOR_LAWSUIT,MCD settles labor dispute with workforce,A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,0,negative,-1,2005-03-29,-0.0298111853318252,LABOR_LAWSUIT,[UNKNOWN] MCD settles labor dispute with workforce A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,LABOR_LAWSUIT,1.0910899974046644,1,0.15568485665883836
2005-06-10,IBM,DATA_PRIVACY,IBM announces data breach affecting customer records,Regulators imposed a fine after finding that the company failed to obtain proper consent for collecting user information. The violation underlines the growing scrutiny of data protection practices in the technology industry.,1,negative,-1,2005-03-31,0.0216663677459774,DATA_PRIVACY,[UNKNOWN] IBM announces data breach affecting customer records Regulators imposed a fine after finding that the company failed to obtain proper consent for collecting user information. The violation underlines the growing scrutiny of data protection practices in the technology industry.,DATA_PRIVACY,1.0354973285142732,1,0.147115868329178
2005-12-01,BAC,ACCOUNTING_FRAUD,BAC executives charged in accounting fraud scheme,"Auditors discovered discrepancies in the company's financial statements, leading to suspicions of accounting misconduct. The firm has initiated an internal review and engaged outside counsel to ensure transparency.",1,negative,-1,2005-03-31,-0.002179404947131,ACCOUNTING_FRAUD,"[UNKNOWN] BAC executives charged in accounting fraud scheme Auditors discovered discrepancies in the company's financial statements, leading to suspicions of accounting misconduct. The firm has initiated an internal review and engaged outside counsel to ensure transparency.",ACCOUNTING_FRAUD,1.2116407338346975,1,0.17566023722841395
2005-11-04,COP,ENVIRONMENTAL,EPA fines COP for pollution and compliance issues,"Environmental regulators allege that the company violated emissions standards, leading to community concerns about pollution. The company has committed to improving environmental controls and cooperating with authorities.",3,negative,-1,2005-04-01,-0.0415094055796371,ENVIRONMENTAL,"[UNKNOWN] EPA fines COP for pollution and compliance issues Environmental regulators allege that the company violated emissions standards, leading to community concerns about pollution. The company has committed to improving environmental controls and cooperating with authorities.",ENVIRONMENTAL,1.8167107430406566,2,0.3057748874362995
2005-08-01,RTX,REGULATORY_UPDATE,RTX issues statement on updated compliance rules,Industry-wide regulatory changes have prompted the company to modify certain practices. Executives anticipate minor operational impacts but emphasized the importance of maintaining compliance.,3,negative,-1,2005-04-02,-0.0133943861756712,OTHER_REGULATORY,[UNKNOWN] RTX issues statement on updated compliance rules Industry-wide regulatory changes have prompted the company to modify certain practices. Executives anticipate minor operational impacts but emphasized the importance of maintaining compliance.,OTHER_REGULATORY,1.2145519040398383,1,0.17616666844954443
2005-09-13,GOOG,DATA_PRIVACY,GOOG fined for violating data privacy regulations,Regulators imposed a fine after finding that the company failed to obtain proper consent for collecting user information. The violation underlines the growing scrutiny of data protection practices in the technology industry.,1,negative,-1,2005-04-05,-0.0120956729453824,DATA_PRIVACY,[UNKNOWN] GOOG fined for violating data privacy regulations Regulators imposed a fine after finding that the company failed to obtain proper consent for collecting user information. The violation underlines the growing scrutiny of data protection practices in the technology industry.,DATA_PRIVACY,1.0619112502504982,1,0.1511375897749246
2005-04-15,MSFT,LABOR_LAWSUIT,MSFT sued over labor practice allegations,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",4,negative,-1,2005-04-09,0.0212588328321521,LABOR_LAWSUIT,"[UNKNOWN] MSFT sued over labor practice allegations The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",LABOR_LAWSUIT,1.9130153806019017,2,0.3308415001858293
2005-06-10,C,LABOR_LAWSUIT,C sued over labor practice allegations,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",1,negative,-1,2005-04-16,-0.0037778859115581,LABOR_LAWSUIT,"[UNKNOWN] C sued over labor practice allegations The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",LABOR_LAWSUIT,1.2847501919582276,1,0.18872750876319522
2005-06-24,BA,ANTITRUST,Regulators probe BA for alleged anticompetitive behavior,"Government agencies have opened an investigation into the company's practices, citing concerns about monopolistic behavior in the tech sector. The company stated it will fully cooperate with authorities and maintain competitive integrity.",3,negative,-1,2005-04-20,0.0675023770985445,ANTITRUST,"[UNKNOWN] Regulators probe BA for alleged anticompetitive behavior Government agencies have opened an investigation into the company's practices, citing concerns about monopolistic behavior in the tech sector. The company stated it will fully cooperate with authorities and maintain competitive integrity.",ANTITRUST,1.1088533609331253,1,0.15850739639422629
2005-06-16,UNH,PATENT_IP,UNH involved in patent infringement lawsuit,The company filed a complaint alleging theft of proprietary designs by a rival. The case seeks injunctive relief to prevent further use of the contested intellectual property and compensatory damages for losses incurred.,0,negative,-1,2005-04-23,0.0031037639876001,PATENT_IP,[UNKNOWN] UNH involved in patent infringement lawsuit The company filed a complaint alleging theft of proprietary designs by a rival. The case seeks injunctive relief to prevent further use of the contested intellectual property and compensatory damages for losses incurred.,PATENT_IP,1.0369821724423038,1,0.1473395779444048
