date,ticker,event_type,headline,body,severity_true,sentiment,direction_true,original_date,ret_fwd_5d
2005-01-28,MCD,LABOR_LAWSUIT,Employees file class-action labor lawsuit against MCD,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",0,negative,-1,2005-03-28,0.017812298977324392
2005-12-23,MCD,LABOR_LAWSUIT,MCD settles labor dispute with workforce,A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,0,negative,-1,2005-03-29,-0.029811185331825252
2005-06-10,IBM,DATA_PRIVACY,IBM announces data breach affecting customer records,Regulators imposed a fine after finding that the company failed to obtain proper consent for collecting user information. The violation underlines the growing scrutiny of data protection practices in the technology industry.,1,negative,-1,2005-03-31,0.02166636774597741
2005-12-01,BAC,ACCOUNTING_FRAUD,BAC executives charged in accounting fraud scheme,"Auditors discovered discrepancies in the company's financial statements, leading to suspicions of accounting misconduct. The firm has initiated an internal review and engaged outside counsel to ensure transparency.",1,negative,-1,2005-03-31,-0.0021794049471310917
2005-11-04,COP,ENVIRONMENTAL,EPA fines COP for pollution and compliance issues,"Environmental regulators allege that the company violated emissions standards, leading to community concerns about pollution. The company has committed to improving environmental controls and cooperating with authorities.",3,negative,-1,2005-04-01,-0.041509405579637115
2005-08-01,RTX,REGULATORY_UPDATE,RTX issues statement on updated compliance rules,Industry-wide regulatory changes have prompted the company to modify certain practices. Executives anticipate minor operational impacts but emphasized the importance of maintaining compliance.,3,negative,-1,2005-04-02,-0.013394386175671236
2005-09-13,GOOG,DATA_PRIVACY,GOOG fined for violating data privacy regulations,Regulators imposed a fine after finding that the company failed to obtain proper consent for collecting user information. The violation underlines the growing scrutiny of data protection practices in the technology industry.,1,negative,-1,2005-04-05,-0.012095672945382496
2005-04-15,MSFT,LABOR_LAWSUIT,MSFT sued over labor practice allegations,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",4,negative,-1,2005-04-09,0.02125883283215213
2005-06-10,C,LABOR_LAWSUIT,C sued over labor practice allegations,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",1,negative,-1,2005-04-16,-0.003777885911558143
2005-06-24,BA,ANTITRUST,Regulators probe BA for alleged anticompetitive behavior,"Government agencies have opened an investigation into the company's practices, citing concerns about monopolistic behavior in the tech sector. The company stated it will fully cooperate with authorities and maintain competitive integrity.",3,negative,-1,2005-04-20,0.06750237709854456
2005-06-16,UNH,PATENT_IP,UNH involved in patent infringement lawsuit,The company filed a complaint alleging theft of proprietary designs by a rival. The case seeks injunctive relief to prevent further use of the contested intellectual property and compensatory damages for losses incurred.,0,negative,-1,2005-04-23,0.00310376398760015
2005-01-19,AMZN,REGULATORY_UPDATE,AMZN issues statement on updated compliance rules,Industry-wide regulatory changes have prompted the company to modify certain practices. Executives anticipate minor operational impacts but emphasized the importance of maintaining compliance.,0,neutral,0,2005-04-25,
2005-06-27,MRK,FDA_ACTION,FDA issues warning to MRK over manufacturing practices,Regulators alleged that the company promoted a drug for unapproved uses. The company has ceased the marketing activity and is working to align promotional practices with regulatory standards.,0,negative,-1,2005-04-26,0.019672223697767333
2005-02-14,DIS,REGULATORY_UPDATE,Regulatory changes affect DIS's operations,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",1,neutral,0,2005-04-26,-0.032664290520444283
2005-09-28,JPM,FINRA_ACTION,JPM faces FINRA action over brokerage violations,"Regulators found that the company violated FINRA rules regarding recordkeeping and trade disclosures. In addition to the monetary penalty, the company must implement enhanced oversight protocols.",1,negative,-1,2005-04-27,-0.003930267855144165
2005-08-26,GOOG,ANTITRUST,GOOG faces antitrust investigation over market practices,Regulatory officials allege that the company has been leveraging its market position to stifle competition. The ongoing inquiry is expected to examine pricing strategies and exclusivity agreements.,0,negative,-1,2005-04-28,0.0171731559490782
2005-12-09,MCD,LABOR_LAWSUIT,Employees file class-action labor lawsuit against MCD,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",0,negative,-1,2005-04-29,-0.0025830558328675535
2005-09-29,NFLX,SEC_ENFORCEMENT,NFLX fined by SEC for disclosure violations,"After an investigation into revenue recognition practices, the company announced it would restate prior earnings. The SEC noted cooperation by the company in resolving the matter.",0,negative,-1,2005-05-02,
2005-04-05,ORCL,LABOR_LAWSUIT,ORCL settles labor dispute with workforce,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",2,negative,-1,2005-05-03,0.0032131607824490427
2005-12-21,MRK,PATENT_IP,MRK involved in patent infringement lawsuit,The lawsuit centers on allegations that the company's product infringed on patented technology held by a competitor. Legal experts anticipate a protracted battle as both sides argue the validity and scope of the patents involved.,0,negative,-1,2005-05-04,0.013153594725040074
2005-06-13,KO,SUPPLY_CHAIN,Regulators scrutinize KO's supply chain practices,"After working with regulators, the company announced it has resolved compliance concerns related to its supply chain. The resolution includes enhanced oversight and revised contracts with suppliers.",0,neutral,0,2005-05-05,0.00734095995252626
2005-05-06,GOOG,LABOR_LAWSUIT,GOOG settles labor dispute with workforce,A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,0,negative,-1,2005-05-06,0.0053503936818166675
2005-09-21,BAC,FINRA_ACTION,FINRA sanctions BAC subsidiary for compliance failures,"Regulators found that the company violated FINRA rules regarding recordkeeping and trade disclosures. In addition to the monetary penalty, the company must implement enhanced oversight protocols.",4,negative,-1,2005-05-06,-0.015617544151862228
2005-06-02,PG,PRODUCT_LIABILITY,PG reaches settlement in product liability case,Consumers filed a lawsuit claiming that the company's product caused injuries due to design flaws. The company maintains that the product meets safety standards and will contest the allegations.,1,negative,-1,2005-05-09,-0.013756997600478105
2006-06-14,AMZN,SUPPLY_CHAIN,Regulators scrutinize AMZN's supply chain practices,"After working with regulators, the company announced it has resolved compliance concerns related to its supply chain. The resolution includes enhanced oversight and revised contracts with suppliers.",2,negative,-1,2005-05-14,
2005-07-12,XOM,ACCOUNTING_FRAUD,XOM executives charged in accounting fraud scheme,"Prosecutors allege that company executives participated in a scheme to inflate revenues and conceal losses. The investigation remains ongoing, and the company has placed the employees involved on administrative leave.",0,negative,-1,2005-05-17,-0.018534363219119387
2021-04-14,META,REGULATORY_UPDATE,META issues statement on updated compliance rules,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",3,negative,-1,2005-05-18,-0.0044580170691405074
2005-02-04,LMT,LABOR_LAWSUIT,LMT sued over labor practice allegations,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",3,negative,-1,2005-05-19,0.035386280963515926
2005-06-06,MRK,REGULATORY_UPDATE,MRK issues statement on updated compliance rules,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",1,neutral,0,2005-05-19,-0.014985870606327834
2005-02-16,UNH,PRODUCT_LIABILITY,UNH reaches settlement in product liability case,Regulatory filings show that the company faces multiple product liability suits alleging harm from its products. The company is evaluating legal strategies to address these claims.,1,negative,-1,2005-05-20,-0.006342060261995575
2005-09-15,JNJ,PRODUCT_LIABILITY,JNJ reaches settlement in product liability case,"A settlement has been reached in a product liability case involving the company and a group of plaintiffs. As part of the agreement, the company agreed to pay damages while denying liability.",1,negative,-1,2005-05-22,0.004815635542298136
2005-06-23,AMZN,LABOR_LAWSUIT,AMZN settles labor dispute with workforce,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",1,negative,-1,2005-05-24,
2005-06-02,XOM,ENVIRONMENTAL,EPA fines XOM for pollution and compliance issues,"The Environmental Protection Agency fined the company for improper disposal of hazardous materials. In response, the company has implemented corrective measures and agreed to periodic audits.",0,negative,-1,2005-05-27,0.01953937800852934
2005-03-29,PEP,DATA_PRIVACY,PEP announces data breach affecting customer records,"Following complaints from users, investigators are reviewing whether the company adequately disclosed how it uses personal data. The company asserts that it complies with applicable privacy laws and continues to enhance transparency.",1,negative,-1,2005-05-28,0.013578003583414322
2005-07-25,WFC,LABOR_LAWSUIT,WFC sued over labor practice allegations,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",0,negative,-1,2005-05-29,-0.004851527645903464
2017-09-21,SBUX,LABOR_LAWSUIT,SBUX sued over labor practice allegations,A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,3,negative,-1,2005-05-29,
2005-10-26,NVDA,REGULATORY_UPDATE,NVDA responds to new regulatory requirements,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",3,negative,-1,2005-05-29,0.09153151724389597
2005-06-07,HUM,FDA_APPROVAL,FDA greenlights HUM's novel drug,"After successful clinical trials, the company's drug received FDA approval for market entry. Investors responded positively, reflecting optimism about future sales prospects.",0,positive,1,2005-05-31,0.0343196090989748
2005-03-01,UNH,FDA_APPROVAL,FDA greenlights UNH's novel drug,"After successful clinical trials, the company's drug received FDA approval for market entry. Investors responded positively, reflecting optimism about future sales prospects.",0,positive,1,2005-06-02,-0.005174920916042547
2005-10-17,LLY,REGULATORY_UPDATE,Regulatory changes affect LLY's operations,The company issued a statement addressing new regulatory requirements affecting its operations. Management indicated ongoing efforts to adapt processes and ensure compliance across all jurisdictions.,3,negative,-1,2005-06-03,-0.014554727953060675
2005-08-18,NFLX,ACCOUNTING_FRAUD,Auditors uncover accounting irregularities at NFLX,"Whistleblower reports prompted authorities to examine the company's books for irregularities. Pending the outcome, stakeholders are expressing concerns about financial reporting practices.",1,negative,-1,2005-06-04,
2005-09-09,COST,PRODUCT_LIABILITY,COST faces product liability lawsuit over safety claims,"A settlement has been reached in a product liability case involving the company and a group of plaintiffs. As part of the agreement, the company agreed to pay damages while denying liability.",0,negative,-1,2005-06-04,0.003485170375829627
2005-02-07,NFLX,ANTITRUST,NFLX faces antitrust investigation over market practices,Regulatory officials allege that the company has been leveraging its market position to stifle competition. The ongoing inquiry is expected to examine pricing strategies and exclusivity agreements.,0,negative,-1,2005-06-06,
2005-03-15,LLY,PRODUCT_LIABILITY,LLY reaches settlement in product liability case,"A settlement has been reached in a product liability case involving the company and a group of plaintiffs. As part of the agreement, the company agreed to pay damages while denying liability.",2,negative,-1,2005-06-08,-0.016318629105995797
2005-10-14,CVX,ENVIRONMENTAL,CVX agrees to remediate environmental contamination,"Environmental regulators allege that the company violated emissions standards, leading to community concerns about pollution. The company has committed to improving environmental controls and cooperating with authorities.",1,negative,-1,2005-06-10,-0.05346333846072715
2005-11-22,CVX,ENVIRONMENTAL,CVX agrees to remediate environmental contamination,"The Environmental Protection Agency fined the company for improper disposal of hazardous materials. In response, the company has implemented corrective measures and agreed to periodic audits.",0,negative,-1,2005-06-15,-0.030615750505572636
2005-04-13,NVDA,SEC_ENFORCEMENT,NVDA to restate earnings after SEC investigation,"According to regulatory filings, the company settled with the SEC over allegations of inadequate internal controls. The resolution involves a monetary fine and the appointment of an independent monitor.",4,negative,-1,2005-06-21,-0.04618613032559793
2005-10-12,WMT,REGULATORY_UPDATE,WMT responds to new regulatory requirements,Industry-wide regulatory changes have prompted the company to modify certain practices. Executives anticipate minor operational impacts but emphasized the importance of maintaining compliance.,0,neutral,0,2005-06-21,0.023364419001372205
2005-11-14,MCD,PRODUCT_LIABILITY,MCD faces product liability lawsuit over safety claims,Consumers filed a lawsuit claiming that the company's product caused injuries due to design flaws. The company maintains that the product meets safety standards and will contest the allegations.,0,negative,-1,2005-06-22,-0.025345791278727936
2005-05-26,JNJ,REGULATORY_UPDATE,JNJ issues statement on updated compliance rules,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",0,neutral,0,2005-06-23,-0.014535689298360133
2005-11-23,SBUX,PRODUCT_LIABILITY,SBUX reaches settlement in product liability case,Regulatory filings show that the company faces multiple product liability suits alleging harm from its products. The company is evaluating legal strategies to address these claims.,1,negative,-1,2005-06-25,
2005-04-14,HD,DATA_PRIVACY,HD fined for violating data privacy regulations,"An internal audit revealed unauthorized access to customer data, prompting regulatory notification and an investigation. The company has engaged forensic experts to assess the scope and pledged to strengthen security protocols.",3,negative,-1,2005-06-28,-0.012920577546646439
2005-03-24,BA,ACCOUNTING_FRAUD,BA executives charged in accounting fraud scheme,"Auditors discovered discrepancies in the company's financial statements, leading to suspicions of accounting misconduct. The firm has initiated an internal review and engaged outside counsel to ensure transparency.",1,negative,-1,2005-06-29,0.034859569526716205
2005-09-07,ABBV,REGULATORY_UPDATE,Regulatory changes affect ABBV's operations,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",1,neutral,0,2005-07-02,
2005-09-23,JNJ,FDA_ACTION,JNJ faces FDA enforcement for marketing violations,The Food and Drug Administration issued a warning letter to the company about manufacturing deficiencies at one of its facilities. The company is addressing the cited issues to avoid further enforcement actions.,3,negative,-1,2005-07-02,-0.011095309342227688
2005-02-02,COP,ENVIRONMENTAL,COP agrees to remediate environmental contamination,"Environmental regulators allege that the company violated emissions standards, leading to community concerns about pollution. The company has committed to improving environmental controls and cooperating with authorities.",1,negative,-1,2005-07-03,0.01872076601807371
2005-10-07,PEP,PRODUCT_LIABILITY,PEP reaches settlement in product liability case,Regulatory filings show that the company faces multiple product liability suits alleging harm from its products. The company is evaluating legal strategies to address these claims.,3,negative,-1,2005-07-04,0.0006963207201831079
2005-03-24,KO,REGULATORY_UPDATE,Regulatory changes affect KO's operations,Industry-wide regulatory changes have prompted the company to modify certain practices. Executives anticipate minor operational impacts but emphasized the importance of maintaining compliance.,1,neutral,0,2005-07-06,0.004369550440218584
2005-11-03,MSFT,REGULATORY_UPDATE,Regulatory changes affect MSFT's operations,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",0,neutral,0,2005-07-10,0.02458393151155125
2005-01-03,DIS,DATA_PRIVACY,DIS announces data breach affecting customer records,"Following complaints from users, investigators are reviewing whether the company adequately disclosed how it uses personal data. The company asserts that it complies with applicable privacy laws and continues to enhance transparency.",0,negative,-1,2005-07-10,
2005-10-06,IBM,LABOR_LAWSUIT,IBM settles labor dispute with workforce,A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,0,negative,-1,2005-07-11,0.0313675127436972
2005-09-01,DIS,LABOR_LAWSUIT,DIS settles labor dispute with workforce,A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,3,negative,-1,2005-07-12,0.014176017758618542
2005-10-21,MSFT,PATENT_IP,MSFT involved in patent infringement lawsuit,The company filed a complaint alleging theft of proprietary designs by a rival. The case seeks injunctive relief to prevent further use of the contested intellectual property and compensatory damages for losses incurred.,1,negative,-1,2005-07-17,0.030265522741046214
2005-08-10,GOOG,ACCOUNTING_FRAUD,GOOG executives charged in accounting fraud scheme,"Prosecutors allege that company executives participated in a scheme to inflate revenues and conceal losses. The investigation remains ongoing, and the company has placed the employees involved on administrative leave.",3,negative,-1,2005-07-17,-0.0020302273039494168
2005-07-07,HD,REGULATORY_UPDATE,Regulatory changes affect HD's operations,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",0,neutral,0,2005-07-18,0.042683201256851655
2005-09-12,AAPL,PATENT_IP,Court rules on intellectual property dispute involving AAPL,The lawsuit centers on allegations that the company's product infringed on patented technology held by a competitor. Legal experts anticipate a protracted battle as both sides argue the validity and scope of the patents involved.,1,negative,-1,2005-07-20,0.0241245145815574
2005-05-03,AAPL,ANTITRUST,AAPL hit with antitrust lawsuit alleging monopolistic conduct,Regulatory officials allege that the company has been leveraging its market position to stifle competition. The ongoing inquiry is expected to examine pricing strategies and exclusivity agreements.,1,negative,-1,2005-07-22,0.005799895058299809
2005-08-01,RTX,ACCOUNTING_FRAUD,RTX investigated over alleged accounting misconduct,"Whistleblower reports prompted authorities to examine the company's books for irregularities. Pending the outcome, stakeholders are expressing concerns about financial reporting practices.",3,negative,-1,2005-07-23,-0.013394386175671236
2005-07-19,MS,LABOR_LAWSUIT,MS sued over labor practice allegations,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",0,negative,-1,2005-07-24,0.0037379136792583534
