
date,ticker,event_type,headline,body,severity_true,sentiment,direction_true
2005-07-06,KO,REGULATORY_UPDATE,Regulatory changes affect KO's operations,Industry-wide regulatory changes have prompted the company to modify certain practices. Executives anticipate minor operational impacts but emphasized the importance of maintaining compliance.,1,neutral,0
2005-07-10,MSFT,REGULATORY_UPDATE,Regulatory changes affect MSFT's operations,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",0,neutral,0
2005-07-10,DIS,DATA_PRIVACY,DIS announces data breach affecting customer records,"Following complaints from users, investigators are reviewing whether the company adequately disclosed how it uses personal data. The company asserts that it complies with applicable privacy laws and continues to enhance transparency.",0,negative,-1
2005-07-11,IBM,LABOR_LAWSUIT,IBM settles labor dispute with workforce,A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,0,negative,-1
2005-07-12,DIS,LABOR_LAWSUIT,DIS settles labor dispute with workforce,A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,3,negative,-1
2005-07-17,MSFT,PATENT_IP,MSFT involved in patent infringement lawsuit,The company filed a complaint alleging theft of proprietary designs by a rival. The case seeks injunctive relief to prevent further use of the contested intellectual property and compensatory damages for losses incurred.,1,negative,-1
2005-07-17,GOOG,ACCOUNTING_FRAUD,GOOG executives charged in accounting fraud scheme,"Prosecutors allege that company executives participated in a scheme to inflate revenues and conceal losses. The investigation remains ongoing, and the company has placed the employees involved on administrative leave.",3,negative,-1
2005-07-18,HD,REGULATORY_UPDATE,Regulatory changes affect HD's operations,"In response to updated compliance rules, the company has updated its policies and provided training to employees. Regulators have acknowledged these steps as part of ongoing oversight.",0,neutral,0
2005-07-20,AAPL,PATENT_IP,Court rules on intellectual property dispute involving AAPL,The lawsuit centers on allegations that the company's product infringed on patented technology held by a competitor. Legal experts anticipate a protracted battle as both sides argue the validity and scope of the patents involved.,1,negative,-1
2005-07-22,AAPL,ANTITRUST,AAPL hit with antitrust lawsuit alleging monopolistic conduct,Regulatory officials allege that the company has been leveraging its market position to stifle competition. The ongoing inquiry is expected to examine pricing strategies and exclusivity agreements.,1,negative,-1
2005-07-23,RTX,ACCOUNTING_FRAUD,RTX investigated over alleged accounting misconduct,"Whistleblower reports prompted authorities to examine the company's books for irregularities. Pending the outcome, stakeholders are expressing concerns about financial reporting practices.",3,negative,-1
2005-07-24,MS,LABOR_LAWSUIT,MS sued over labor practice allegations,"The company reached a settlement with workers who had claimed unfair labor practices. Without admitting wrongdoing, the company agreed to compensation and to implement improved labor policies.",0,negative,-1
2005-07-24,XOM,SUPPLY_CHAIN,XOM faces supply chain disruptions amid regulatory probe,Regulatory authorities are examining the company's sourcing practices for potential violations of international trade laws. The inquiry focuses on whether suppliers complied with labor and environmental standards.,1,neutral,0
2005-07-25,UNH,FDA_ACTION,FDA issues warning to UNH over manufacturing practices,"Following reports of adverse events, the FDA placed restrictions on the company's product pending additional data. The company is cooperating with regulators and providing the requested information.",0,negative,-1
2005-07-26,CVX,ACCOUNTING_FRAUD,CVX executives charged in accounting fraud scheme,"Whistleblower reports prompted authorities to examine the company's books for irregularities. Pending the outcome, stakeholders are expressing concerns about financial reporting practices.",3,negative,-1
2005-07-26,AAPL,ACCOUNTING_FRAUD,AAPL executives charged in accounting fraud scheme,"Whistleblower reports prompted authorities to examine the company's books for irregularities. Pending the outcome, stakeholders are expressing concerns about financial reporting practices.",1,negative,-1
2005-07-27,SBUX,LABOR_LAWSUIT,SBUX settles labor dispute with workforce,Current and former employees filed a class-action suit accusing the company of discriminatory practices and inadequate workplace protections. The lawsuit seeks compensatory damages and policy changes.,1,negative,-1
2005-07-29,IBM,REGULATORY_UPDATE,Regulatory changes affect IBM's operations,The company issued a statement addressing new regulatory requirements affecting its operations. Management indicated ongoing efforts to adapt processes and ensure compliance across all jurisdictions.,0,neutral,0
2005-08-04,NVDA,PATENT_IP,Court rules on intellectual property dispute involving NVDA,The company filed a complaint alleging theft of proprietary designs by a rival. The case seeks injunctive relief to prevent further use of the contested intellectual property and compensatory damages for losses incurred.,2,negative,-1
2005-08-04,DIS,DATA_PRIVACY,DIS announces data breach affecting customer records,"Following complaints from users, investigators are reviewing whether the company adequately disclosed how it uses personal data. The company asserts that it complies with applicable privacy laws and continues to enhance transparency.",0,negative,-1
2005-08-12,COST,SUPPLY_CHAIN,COST resolves supply chain compliance issue,"After working with regulators, the company announced it has resolved compliance concerns related to its supply chain. The resolution includes enhanced oversight and revised contracts with suppliers.",0,neutral,0
2005-08-13,KO,SUPPLY_CHAIN,Regulators scrutinize KO's supply chain practices,"After working with regulators, the company announced it has resolved compliance concerns related to its supply chain. The resolution includes enhanced oversight and revised contracts with suppliers.",1,neutral,0
2005-08-14,TGT,PRODUCT_LIABILITY,TGT faces product liability lawsuit over safety claims,Consumers filed a lawsuit claiming that the company's product caused injuries due to design flaws. The company maintains that the product meets safety standards and will contest the allegations.,2,negative,-1
2005-08-15,MS,LABOR_LAWSUIT,MS settles labor dispute with workforce,A group of employees alleges that the company violated wage and hour laws by misclassifying workers and failing to pay overtime. The company stated it complies with labor regulations and will defend itself vigorously.,0,negative,-1
2005-08-15,ABBV,FDA_ACTION,FDA issues warning to ABBV over manufacturing practices,"Following reports of adverse events, the FDA placed restrictions on the company's product pending additional data. The company is cooperating with regulators and providing the requested information.",1,negative,-1
2005-08-15,MCD,SUPPLY_CHAIN,MCD faces supply chain disruptions amid regulatory probe,Regulatory authorities are examining the company's sourcing practices for potential violations of international trade laws. The inquiry focuses on whether suppliers complied with labor and environmental standards.,2,negative,-1
